,Site,Produit,Type,Prix,Commentaires
0,Au Bureau,"Stella Artois (4,8°)",Boisson,,"Bière blonde de tradition, elle doit son goût à la qualité des malts et des houblons utilisés."
1,Au Bureau,"Hoegaarden Blanche (4,9°)",Boisson,,"Rafraîchissante et légère grâce à son mélange unique d’écorce d’orange, de coriandre et d’épices. Servie dans son verre hexagonal givré."
2,Au Bureau,Hoegaarden Rosée (3°),Boisson,,Bière blanche à la saveur et la couleur subtile de la framboise. Servie dans son verre hexagonal givré.
3,Au Bureau,"Leffe Blonde (6,6°)",Boisson,,Bière aux saveurs subtiles et aux nuances douces de vanille et clous de girofle.
4,Au Bureau,Leffe Ruby (5°),Boisson,,Bière rafraîchissante aux arômes de fruits rouges et de bois de rose.
5,Au Bureau,"Leffe Royale Whitbread Golding (7,5°)",Boisson,,Bière blonde belge brassée avec 3 variétés de houblons aux arômes d’agrumes avec une touche de citron et de notes fleuries.
6,Au Bureau,"Leffe Royale Cascade IPA (7,5°)",Boisson,,Bière blonde belge aux houblons des montagnes de Washington qui se caractérise par des notes d’agrumes et d’épices.
7,Au Bureau,"Kwak (8,1°)",Boisson,,Bière belge à la saveur douce avec des notes fruitées de prune et de noix associées à des pointes de malts caramel.
8,Au Bureau,Leffe Rituel (9°),Boisson,,Bière pleine de caractère aux notes subtiles de fruits et d’épices amères.
10,Au Bureau,"Corona (4,5° - 35,5cl)",Boisson,,"Rafraîchissante, aux arômes de citron"
11,Au Bureau,"Cubanisto (5,9° - 33cl)",Boisson,,Aromatisée au rhum et aux agrumes
12,Au Bureau,Jupiler 0.0 (0° - 25cl),Boisson,,Amertume soutenue
13,Au Bureau,Bud (5° - 33cl),Boisson,,Arômes de miel et de citron
14,Au Bureau,Original Mojito (17cl),Boisson,,"Rhum Bacardi Carta Blanca, citron vert, sucre de canne, menthe fraîche, Perrier"
15,Au Bureau,Mojito Royal (17cl),Boisson,,"Rhum Bacardi Carta Blanca, Champagne, citron vert, sucre de canne, menthe fraîche"
